sample_id,visit_id,pcr_primers_ae,total_sequencing_reads_ae,reads_with_pcr_primers_ae,filtered_reads_ae,pcr_primers_tb,total_sequencing_reads_tb,reads_with_pcr_primers_tb,filtered_reads_tb,anaplasma_bovis_u03775_ae,anaplasma_bovis_ab983439_ae,anaplasma_marginale_cp000030_ae,anaplasma_platys_like_ku585990_ae,anaplasma_phagocytophilum_u02521_ae,candidatus_anaplasma_boleense_ku586025_ae,uncultured_anaplasma_sp_clone_saso_ky924885_ae,uncultured_anaplasma_sp_jn862825_ae,ehrlichia_sp_tibet_ehrlichia_canis_ehrlichia_minasensis_af414399_ay394465_mt163430_ae,ehrlichia_ruminantium_x61659_ae,anaplasma_platys_ef139459_ae,babesia_bigemina_ay603402_tb,babesia_bigemina_lk391709_tb,babesia_bigemina_ku206291_tb,theileria_mutans_af078815_tb,theileria_sp_strain_msd_af078816_tb,theileria_parva_l02366_tb,theileria_taurotragi_l19082_tb,theileria_velifera_af097993_tb,babesia_bovis_kf928959_tb,babesia_bovis_aaxt01000002_tb,babesia_bovis_ay603398_tb,babesia_bigemina_lk391709_2_tb,babesia_bovis_jq437260_tb,calf_id,visit_date,dead_or_alive_at_end_of_study,date_last_visit_with_data,date_of_birth,calf_sex,serology_t_parva,serology_t_mutans,serology_b_bigemina,serology_a_marginale,sample_week,date_of_death,euthanised,immediate_cause_pathology,definitive_aetiological_cause,definitive_cause_pathogen,contributing_pathology_1,contributing_cause_1,agro_ecological_zones,haemonchosis_coinfection,dead_or_alive_simple,event,time_to_event,genotype,died
RED002175,VRC160430,AnEh,66285,56896,45193,ThBa,598759,495291,357608,3568,6418,0,8056,0,0,25489,0,0,0,0,0,0,15678,131734,138444,0,0,51162,0,0,0,0,0,CA041510430,2008-11-24,Alive,NA,2008-08-08,M,4.5,29,57.5,8,16,NA,NA,NA,Alive,NA,NA,NA,Namboboto (15),NA,Alive,0,51,TT,No
RED002177,VCC010065,AnEh,48801,35918,32037,ThBa,277,29,8,2532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA010310065,2008-11-24,Alive,NA,2008-04-12,F,NA,NA,NA,NA,1,NA,NA,NA,Alive,NA,NA,NA,Kokare (3),NA,Alive,0,51,CT,No
RED002178,VRC360575,AnEh,154692,130474,120441,ThBa,752,4,0,0,0,0,92845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA052010575,2008-11-25,Alive,NA,2008-03-19,F,80.5,33,2.5,46,36,NA,NA,NA,Alive,NA,NA,NA,Magombe East (20),NA,Alive,0,51,CC,No
RED002179,VRC060584,AnEh,213634,141104,124910,ThBa,1075,119,90,0,0,0,109678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA052010584,2008-11-25,Alive,NA,2008-10-19,F,11,60.5,13.5,6.5,6,NA,NA,NA,Alive,NA,NA,NA,Magombe East (20),NA,Alive,0,51,CT,No
RED002183,VRC260577,AnEh,384726,325463,294995,ThBa,8784,6214,4998,129253,0,0,8762,0,0,0,0,0,0,0,0,0,0,0,3598,1264,0,0,0,0,0,0,0,CA052010577,2008-11-25,Dead: Infectious death,2008-11-25,2008-05-29,M,43.5,2.5,2,3,26,2008-12-01,Yes,Lymphoblastic interstitial pneumonia,Dead,Theileria parva,Anaemia,Trypanosomiasis,Magombe East (20),absent,Dead,1,26.571428571428573,CC,ECF
RED002184,VRC360125,AnEh,37782,18445,16536,ThBa,17736,9046,7386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7262,0,0,0,0,0,0,0,0,0,CA020510125,2008-11-26,Dead: Infectious death,2008-11-26,2008-03-18,F,61.5,44.5,4,5.5,36,2008-12-17,Yes,Anemia (whole blood loss),Censored,Haemonchus placei,Intestinal mucosa inflammation,Helminthisasis,Kamunuoit (5),absent,Dead,0,39.142857142857146,CC,Other
RED002185,VRC110133,AnEh,11856,9540,8494,ThBa,309,68,42,0,0,0,2103,0,0,2339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA020510133,2008-11-26,Alive,NA,2008-09-11,F,16.5,2.5,21.5,4,11,NA,NA,NA,Alive,NA,NA,NA,Kamunuoit (5),NA,Alive,0,51,CT,No
RED002186,VRC260129,AnEh,1196010,1049975,838198,ThBa,20045,14321,12112,0,0,0,835561,0,0,0,0,0,0,0,0,0,0,7997,3182,0,0,840,0,0,0,0,0,CA020510129,2008-11-26,Alive,NA,2008-05-29,F,73,23,4.5,11.5,26,NA,NA,NA,Alive,NA,NA,NA,Kamunuoit (5),NA,Alive,0,51,CT,No
RED002187,VRC060134,AnEh,5974,5221,4600,ThBa,175,95,75,0,0,0,1689,0,0,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA020510134,2008-11-26,Alive,NA,2008-10-17,M,36,7.5,9.5,22.5,6,NA,NA,NA,Alive,NA,NA,NA,Kamunuoit (5),NA,Alive,0,51,CT,No
RED002188,VRC210130,AnEh,13488,10789,9346,ThBa,12506,4726,2849,0,0,0,1417,0,0,4364,0,0,0,0,0,0,0,1390,1381,0,0,0,0,0,0,0,0,CA020510130,2008-11-26,Alive,NA,2008-07-01,F,26,52.5,3,76.5,21,NA,NA,NA,Alive,NA,NA,NA,Kamunuoit (5),NA,Alive,0,51,CT,No
