"calf_id","calf_sex","weight","sample_week","agro_ecological_zones"
"CA031010277","F","25",6,"Bukati (10)"
"CA031010274","M","40",21,"Bukati (10)"
"CA031010275","F","43",21,"Bukati (10)"
"CA031010276","M","39",11,"Bukati (10)"
"CA031010278","F","30",6,"Bukati (10)"
"CA041510425","F","32",21,"Namboboto (15)"
"CA041510426","M","33.5",6,"Namboboto (15)"
"CA041510421","M","57.5",31,"Namboboto (15)"
"CA041510423","F","50",26,"Namboboto (15)"
"CA041510424","F","34",26,"Namboboto (15)"
"CA052010571","M","61.5",31,"Magombe East (20)"
"CA052010574","F","32",21,"Magombe East (20)"
"CA052010572","M","57",26,"Magombe East (20)"
"CA052010576","M","26",6,"Magombe East (20)"
"CA052010575","F","29",11,"Magombe East (20)"
"CA020510123","M","37.5",26,"Kamunuoit (5)"
"CA020510127","F","25",6,"Kamunuoit (5)"
"CA020510122","M","60",31,"Kamunuoit (5)"
"CA020510121","F","40",31,"Kamunuoit (5)"
"CA020510124","M","40.5",21,"Kamunuoit (5)"
"CA020510126","F","30",11,"Kamunuoit (5)"
"CA020510125","F","28",11,"Kamunuoit (5)"
"CA031110304","F","36.5",21,"Ikonzo (11)"
"CA031110307","F","32.5",6,"Ikonzo (11)"
"CA031110302","M","54.5",26,"Ikonzo (11)"
"CA031110305","M","33",21,"Ikonzo (11)"
"CA030810215","F","40",26,"Igero (8)"
"CA030810216","M","30",21,"Igero (8)"
"CA030810217","M","27",11,"Igero (8)"
"CA030810212","M","59",31,"Igero (8)"
"CA030810213","M","36",31,"Igero (8)"
"CA030810218","M","21",6,"Igero (8)"
"CA031310363","M","47",26,"Yiro West (13)"
"CA031310362","M","64.5",31,"Yiro West (13)"
"CA031310364","F","34.5",26,"Yiro West (13)"
"CA031310361","M","41",36,"Yiro West (13)"
"CA031310366","F","30",21,"Yiro West (13)"
"CA010110001","F","40",36,"East Siboti (1)"
"CA010110008","M","25.5",11,"East Siboti (1)"
"CA010110007","F","52",21,"East Siboti (1)"
"CA010110004","F","48",31,"East Siboti (1)"
"CA010110005","F","44.5",26,"East Siboti (1)"
"CA010110006","F","45",21,"East Siboti (1)"
"CA010110009","F","31",11,"East Siboti (1)"
"CA020610151","M","46",31,"Karisa (6)"
"CA020610156","M","37",21,"Karisa (6)"
"CA020610152","M","83",36,"Karisa (6)"
"CA020610153","F","56.5",31,"Karisa (6)"
"CA020610157","F","35",21,"Karisa (6)"
"CA020610160","F","20",6,"Karisa (6)"
"CA020610159","F","24",11,"Karisa (6)"
"CA030810220","F","18",1,"Igero (8)"
"CA031210331","M","43",36,"Bumala A (12)"
"CA031210335","M","30",6,"Bumala A (12)"
"CA031210334","M","45",21,"Bumala A (12)"
"CA031210333","M","43.5",26,"Bumala A (12)"
